ds,yhat,yhat_lower,yhat_upper
2010-11-12,23073.859276065727,15611.567532335455,31325.963104360177
2010-11-19,15521.409610104201,8183.302832780143,22596.36808186567
2010-11-26,15144.842870954775,7715.624178713722,22434.7989228696
2010-12-03,23524.404265272777,15773.573913131304,31165.952090764185
2010-12-10,34906.78821382486,27365.693266787734,42362.77673212644
2010-12-17,40914.586078517605,33558.4230546587,48226.88208834375
2010-12-24,37253.41600074232,29549.015601943822,44853.63754353233
2010-12-31,26430.353524640122,18863.21588980032,33847.097278175104
2011-01-07,14978.231090322386,7627.006894792555,22218.298558330018
2011-01-14,8683.0829567361,1556.6191368924074,16236.59043194647
2011-01-21,9806.76896777833,2207.44383336598,17704.375684834922
2011-01-28,17055.31333688697,9632.535525761767,24899.269563686263
2011-02-04,26662.347208657153,18987.466196998445,33678.605379398876
2011-02-11,33696.68229734806,26221.818833709007,41673.48709215875
2011-02-18,34181.636354997354,26324.797545069272,41372.996480086425
2011-02-25,27841.071354403863,20200.578672124295,35353.49816627627
2011-03-04,19180.08171048274,11876.108431425648,26617.245782270824
2011-03-11,14785.03590049893,6884.25989876027,22052.86524055431
2011-03-18,18216.46730318662,10848.608221989269,25635.62618360825
2011-03-25,26981.94013604433,19455.566377194256,34307.317051337595
2011-04-01,34688.44672219666,27153.022791254385,42446.59357165712
2011-04-08,36464.240049195854,28546.734052282958,43233.45894647542
2011-04-15,32488.38284587326,24562.61632700095,40657.071190827905
2011-04-22,26630.349985116216,18717.74929076472,33904.431347875325
2011-04-29,22315.72136824882,14883.203063024963,30074.31451172603
2011-05-06,20094.492063490103,12474.73425326893,27519.401424497177
2011-05-13,18739.890870216615,11368.77506756189,26125.540557067918
2011-05-20,17610.375460065985,10228.401342593212,25023.848149289643
2011-05-27,17240.087296422276,9398.739884521943,24118.896100342994
2011-06-03,17988.75050012567,10624.362017717163,25377.764751194518
2011-06-10,19065.16628359341,11661.38733574803,26667.421469821602
2011-06-17,19349.887500210127,11849.005501795567,27110.071683802445
2011-06-24,18783.89903471169,10854.12106032007,26968.854282112432
2011-07-01,18350.39053255447,11078.376356716311,25892.547408104252
2011-07-08,18692.81365437837,11536.191317426661,26559.3855350372
2011-07-15,19287.745860323696,11784.5705034934,26746.289338787505
2011-07-22,19268.851333096427,11698.490540952262,26986.19478355412
2011-07-29,18687.052878430062,10934.10531203785,25886.795605056093
2011-08-05,18414.393993980742,10629.821891042058,25892.075476387985
2011-08-12,18845.53958610889,11019.533380403183,26402.81927631941
2011-08-19,19293.89605650498,11833.18217608149,27406.73676308684
2011-08-26,19028.50812931643,12083.135995216904,27163.353474079628
2011-09-02,18502.498857923936,10634.573224218324,26377.546403333086
2011-09-09,18876.67596475917,11761.107932832998,26328.794912465517
2011-09-16,20290.26886948268,12795.608484510161,27981.830451712816
2011-09-23,21352.298152967425,14232.876491597457,29236.942932830967
2011-09-30,20984.000674606334,13244.497971988285,28776.16865619973
2011-10-07,20421.66150439684,12818.57653590521,28216.016757184316
2011-10-14,22334.443821182107,14556.732063659832,30127.479443747336
2011-10-21,27348.111039366773,19813.607664462466,34763.43572496641
2011-10-28,32013.9754266809,24772.489695387198,39729.62256183535
2011-11-04,31430.599192559795,23617.647754294387,38940.842177495164
2011-11-11,24540.801892880925,16310.248640440748,32367.191817711246
2011-11-18,16426.052485327327,8094.830611879341,24074.56544230848
2011-11-25,14438.955805350319,6238.906162456327,21695.632178479253
2011-12-02,21461.195142457887,13847.017590701631,29471.778179625784
2011-12-09,32885.07556367503,24897.011684875848,39927.531737121426
2011-12-16,40318.78746122374,32560.35125638279,48141.967929671504
2011-12-23,38395.58986385581,30380.72099531518,45819.10728022617
2011-12-30,28472.62190556611,20297.76613938198,35451.0476559139
2012-01-06,16690.40096228283,8426.575338577984,23842.710827419767
2012-01-13,9230.965453646324,1664.6946753795792,16978.436717415498
2012-01-20,9035.94523730698,1274.9977040399872,15748.841824682262
2012-01-27,15379.714438008257,8273.501008130692,22493.15704444849
2012-02-03,24867.943414136793,17498.893414474336,32701.79005361267
2012-02-10,32678.697308156952,25115.694401503184,39811.45896711028
2012-02-17,34483.0900758228,27029.61701405345,41401.03871841424
2012-02-24,29182.86202531705,21112.415325907383,35938.84204990978
2012-03-02,20492.5689226286,12985.865366804257,27759.3555014951
2012-03-09,14949.920223263538,7662.745028072434,22920.467686814267
2012-03-16,16979.126697696927,8677.913383621224,24048.600367236962
2012-03-23,25173.376009563217,17807.74964683084,32742.739591767422
2012-03-30,33500.05068762426,25585.0464097519,41555.924228644915
2012-04-06,36463.1921060558,29125.269258200737,44129.59440430748
2012-04-13,33301.840385429634,25932.78566692254,41017.97183047708
2012-04-20,27492.35412525929,20056.89194377947,34379.55448716609
2012-04-27,22798.412201636824,15567.029419353194,30821.415501429274
2012-05-04,20288.35581161474,12930.504430996461,28357.85709535623
2012-05-11,18872.840634752058,11472.93165047483,26381.902731387127
2012-05-18,17692.132636719387,9848.270483893251,24717.473089634146
2012-05-25,17135.66763156515,9438.810828983598,24844.686436063563
2012-06-01,17707.364645100017,10204.633482402456,25213.952756077462
2012-06-08,18813.817087722517,11100.101298076437,26003.204335843457
2012-06-15,19283.606414247937,11522.28415780044,26545.83267808187
2012-06-22,18815.2579377996,11317.004587745685,26299.623895652418
2012-06-29,18284.01981058767,10696.965837930786,25848.308532557778
2012-07-06,18493.627352839914,10045.452642499748,26231.83361199017
2012-07-13,19114.035410208755,11746.840764217694,26828.651720247293
2012-07-20,19236.203171870042,11358.777904696844,26455.57108848989
2012-07-27,18702.82826862481,10856.835732641679,25959.259469485052
2012-08-03,18316.832536278376,11077.706102994734,25264.101534515186
2012-08-10,18645.332981581876,11208.067586486728,26612.59114144238
2012-08-17,19161.979619656664,11669.95749920554,26755.555360744398
2012-08-24,19031.72744429914,11090.030719432338,26369.07732476885
2012-08-31,18469.010619957535,11254.443631177974,25870.651920500753
2012-09-07,18621.473948327395,11601.778916882384,26543.13422501825
2012-09-14,19913.756449380377,12184.845559288273,27626.26804214979
2012-09-21,21155.767300998054,14038.428768159803,28572.555494894357
2012-09-28,21029.619071403013,13903.77159701464,28151.510789221888
2012-10-05,20312.242558989066,13428.231449044964,27715.85352478457
2012-10-12,21623.63822078585,14770.331653515937,29021.947381759877
2012-10-19,26202.11660928445,18254.892378968783,33532.78393250854
2012-10-26,31290.550662114194,23564.55180225114,38758.81338280297
2012-10-28,32112.00762814992,24776.58526243587,39297.83000911397
2012-11-04,30799.98676723447,22965.959173589752,38159.730378472734
2012-11-11,23479.153804932335,15883.286470837547,30638.683445711744
2012-11-18,15732.31823104922,8175.566318693031,23380.938470953162
2012-11-25,14708.43025034906,7576.536666092904,22497.581552227733
2012-12-02,22503.335038203473,14891.69891122345,30810.179992216355
2012-12-09,33847.184912480836,25735.644805428612,41809.788044696
2012-12-16,40394.66524538644,33287.252357654506,48106.06925368547
2012-12-23,37445.552004521574,29806.57636884023,44998.63940075057
2012-12-30,27039.8796951016,18635.46002289963,34381.446032778025
2013-01-06,15522.643106677484,7828.297046275303,23245.780068406264
2013-01-13,8803.772664880367,1385.214885979465,16614.234659264806
